decision,reason,title,year,doi,cited_by,direction,via_seeds
excluded,"difficulty/factor/intervention study, no construct-level misconception statements",A study of the difficulties of novice programmers,2005,https://doi.org/10.1145/1067445.1067453,826,backward,Kohn2017;KumarVeerasamy2016
kept,classic primary for the parallelism/intentionality/egocentrism bugs and the superbug; integrated (problem-solving),Language-Independent Conceptual “Bugs” in Novice Programming,1986,https://doi.org/10.2190/689t-1r2a-x4w4-29j2,314,backward,Eckert2022;Kaczmarczyk2010;Sekiya2013
kept,primary on natural-language preconceptions as misconception source,Preprogramming Knowledge: A Major Source of Misconceptions in Novice Programmers,1985,https://doi.org/10.1207/s15327051hci0102_3,238,backward,Kaczmarczyk2010;Sekiya2013
kept,named novice Java error catalogue,Identifying and correcting Java programming errors for introductory computer science students,2003,https://doi.org/10.1145/611892.611956,202,backward,AltadmriBrown2015;Esche2025;KumarVeerasamy2016
kept,error categorisation incl. semantic errors,Meaningful categorisation of novice programmer errors,2014,https://doi.org/10.1109/fie.2014.7044420,102,backward,AltadmriBrown2015;KumarVeerasamy2016
excluded,"difficulty/factor/intervention study, no construct-level misconception statements",Identifying Top Java Errors for Novice Programmers,2006,https://doi.org/10.1109/fie.2005.1611967,100,backward,AltadmriBrown2015;Esche2025
excluded,"error-message/tooling focus, no new misconceptions",Effective compiler error message enhancement for novice programming students,2016,https://doi.org/10.1080/08993408.2016.1225464,99,forward,AltadmriBrown2015
kept,primary BASIC-era misconception study behind several inventory rows,A Summary of Misconceptions of High School Basic Programmers,1986,https://doi.org/10.2190/fgn9-dj2f-86v8-3fau,97,backward,Eckert2022;Kohn2017;Sekiya2013
excluded,"error-message/tooling focus, no new misconceptions",Measuring the effectiveness of error messages designed for novice programmers,2011,https://doi.org/10.1145/1953163.1953308,96,backward,KumarVeerasamy2016
kept,primary mental-model study of variable assignment,Investigating the viability of mental models held by novice programmers,2007,https://doi.org/10.1145/1227310.1227481,95,backward,Kaczmarczyk2010;Kohn2017
excluded,"error-message/tooling focus, no new misconceptions",A New Metric to Quantify Repeated Compiler Errors for Novice Programmers,2016,https://doi.org/10.1145/2899415.2899463,80,forward,AltadmriBrown2015
kept,large-scale logic-vs-syntax error data,A New Look at Novice Programmer Errors,2019,https://doi.org/10.1145/3335814,75,backward,Esche2025
kept,named logic-error catalogue,Common logic errors made by novice programmers,2018,https://doi.org/10.1145/3160489.3160493,70,backward,Esche2025
excluded,duplicate OpenAlex record of a kept work,Investigating the viability of mental models held by novice programmers,2007,https://doi.org/10.1145/1227504.1227481,61,backward,Kohn2017
excluded,"difficulty/factor/intervention study, no construct-level misconception statements",Teachers’ Perceptions of Student Misconceptions in Introductory Programming,2019,https://doi.org/10.1177/0735633119845413,52,forward,AltadmriBrown2015;Ragonis2005
excluded,"difficulty/factor/intervention study, no construct-level misconception statements",Using Targeted Feedback to Address Common Student Misconceptions in Introductory Programming: A Data-Driven Approach,2019,https://doi.org/10.1177/2158244019885136,37,forward,AltadmriBrown2015;Kaczmarczyk2010;Ragonis2005
kept,empirically separates slips from misconceptions,Sometimes It's Just Sloppiness - Studying Students' Programming Errors and Misconceptions,2020,https://doi.org/10.1145/3328778.3366862,34,backward,Esche2025
